NR_TURNO;SG_UF;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;DS_NACIONALIDADE;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_REELEICAO
1;DF;8;DEPUTADO DISTRITAL;70400;JOAB SANTA LUZIA E ESTRUTURAL;70;AVANTE;BRASILEIRA NATA;PB;39;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;N
1;DF;10;2º SUPLENTE;180;MANO LIMA;50;PSOL;BRASILEIRA NATA;CE;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;10;2º SUPLENTE;161;SÍLVIO;16;PSTU;BRASILEIRA NATA;SP;71;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;N
1;DF;6;DEPUTADO FEDERAL;6599;FLAUZINO ANTUNES;65;PC do B;BRASILEIRA NATA;SP;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;36111;CARLOS DALVAN;36;AGIR;BRASILEIRA NATA;DF;35;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);NÃO INFORMADO;N
1;DF;8;DEPUTADO DISTRITAL;70800;SUED MOBILIDADE;70;AVANTE;BRASILEIRA NATA;GO;42;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;1144;WILL GODOY;11;PP;BRASILEIRA NATA;DF;49;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;19007;FÁBIO MULLER;19;PODE;BRASILEIRA NATA;SP;47;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;13061;THELMA MELLO;13;PT;BRASILEIRA NATA;RJ;50;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;36136;ALEXANDRE YANEZ;36;AGIR;BRASILEIRA NATA;DF;52;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);NÃO INFORMADO;N
1;DF;8;DEPUTADO DISTRITAL;27220;BRAGA;27;DC;BRASILEIRA NATA;MA;47;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;19100;TIO CLAYTINHO;19;PODE;BRASILEIRA NATA;DF;45;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;1456;ODISSÉIA FORÇA BRASIL;14;PTB;BRASILEIRA NATA;PI;43;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;15061;LÍVIA SARAIVA;15;MDB;BRASILEIRA NATA;CE;35;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);AMARELA;N
1;DF;8;DEPUTADO DISTRITAL;65555;VERÔNICA GOULART COLETIVO;65;PC do B;BRASILEIRA NATA;RJ;56;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;27777;IRACILDA;27;DC;BRASILEIRA NATA;PE;63;FEMININO;SUPERIOR INCOMPLETO;VIÚVO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;51017;ELIETE AMARAL;51;PATRIOTA;BRASILEIRA NATA;DF;54;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;33000;MISSIONÁRIA CRISTIANE;33;PMN;BRASILEIRA NATA;DF;43;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;22333;OSCAR REIS;22;PL;BRASILEIRA NATA;DF;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;5010;ROSELI FARIA;50;PSOL;BRASILEIRA NATA;PR;51;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;30001;DR. GETÚLIO;30;NOVO;BRASILEIRA NATA;DF;43;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;2820;DOUTORA GRAÇAS;28;PRTB;BRASILEIRA NATA;PB;63;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;3030;RITA MASCARENHAS;30;NOVO;BRASILEIRA NATA;BA;45;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;43333;SANDRA PALMEIRA;43;PV;BRASILEIRA NATA;DF;52;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;51001;GIZELE CARVALHO;51;PATRIOTA;BRASILEIRA NATA;DF;39;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;51533;ALCIONE FERNANDES;51;PATRIOTA;BRASILEIRA NATA;DF;43;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1477;PAULO BOMBEIRO;14;PTB;BRASILEIRA NATA;DF;48;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;45190;CORONEL NUNES;45;PSDB;BRASILEIRA NATA;DF;52;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
